1password	ii 	8.12.30
hunspell-pt-pt	ii 	1:25.2.3-1
hunspell-ro	ii 	1:25.2.3-1
hunspell-ru	ii 	1:25.2.3-1
hunspell-si	ii 	1:25.2.3-1
hunspell-sl	ii 	1:25.2.3-1
hunspell-sr	ii 	1:25.2.3-1
hunspell-sv	ii 	1:25.2.3-1
hunspell-te	ii 	1:25.2.3-1
hunspell-th	ii 	1:25.2.3-1
hunspell-vi	ii 	1:25.2.3-1
hyphen-de	ii 	1:25.2.3-1
hyphen-en-us	ii 	2.8.8-7
hyphen-hr	ii 	1:25.2.3-1
hyphen-hu	ii 	1:25.2.3-1
hyphen-lt	ii 	1:25.2.3-1
i2c-tools	ii 	4.4-2
i965-va-driver:amd64	ii 	2.4.1+dfsg1-2
i965-va-driver:i386	ii 	2.4.1+dfsg1-2
iamerican	ii 	3.4.06-1
ibrazilian	ii 	3.0~beta4-25
ibritish	ii 	3.4.06-1
ibulgarian	ii 	4.1-7.1
ibus	ii 	1.5.32-2
ibus-data	ii 	1.5.32-2
ibus-gtk:amd64	ii 	1.5.32-2
ibus-gtk3:amd64	ii 	1.5.32-2
ibus-gtk4:amd64	ii 	1.5.32-2
ibus-hangul	ii 	1.5.5-2+b1
icatalan	ii 	0.20111230b-14
idanish	ii 	1.6.36-17
idutch	ii 	1:2.20.19+1-3
ienglish-common	ii 	3.4.06-1
ifrench-gut	ii 	1:1.0-32.3
ifupdown	ii 	0.8.44+deb13u1
ihungarian	ii 	1.8.1+git20240328.3aa21cc-1
iio-sensor-proxy	ii 	3.7-3
iitalian	ii 	1:2.3-3.2
ilithuanian	ii 	1.3.2-3
im-config	ii 	0.57-2
imagemagick-7-common	ii 	8:7.1.1.43+dfsg1-1+deb13u11
indi-dsi	ii 	0.4+20221223123028-2
ingerman	ii 	20161207-15
init	ii 	1.69~deb13u1
init-system-helpers	ii 	1.69~deb13u1
initramfs-tools	ii 	0.148.4
initramfs-tools-bin	ii 	0.148.4
initramfs-tools-core	ii 	0.148.4
inorwegian	ii 	2.2-4
intel-media-va-driver:amd64	ii 	25.2.3+dfsg1-1
intel-media-va-driver:i386	ii 	25.2.3+dfsg1-1
intel-microcode	ii 	3.20251111.1~deb13u1
iperf3	ii 	3.18-2+deb13u2
ipolish	ii 	20240901-1
iportuguese	ii 	20220621-1
ipp-usb	ii 	0.9.23-2+b7
iproute2	ii 	6.15.0-1
iputils-ping	ii 	3:20240905-3
irussian	ii 	0.99g5-30
isa-support:amd64	ii 	27
iso-codes	ii 	4.18.0-1
ispanish	ii 	1.11-20
ispell	ii 	3.4.06-1
iswiss	ii 	20161207-15
iucode-tool	ii 	2.3.1-3
iw	ii 	6.9-1
javascript-common	ii 	12+nmu1
jq	ii 	1.7.1-6+deb13u2
kasumi	ii 	2.5+debian2-1
kbd	ii 	2.7.1-2
keyboard-configuration	ii 	1.242~deb13u1
klibc-utils	ii 	2.0.14-1
kmod	ii 	34.2-2
krb5-locales	ii 	1.21.3-5+deb13u1
laptop-detect	ii 	0.16+nmu1
less	ii 	668-1
liba52-0.7.4:amd64	ii 	0.7.4-20+b3
libaa1:amd64	ii 	1.4p5-51.1+b1
libaacs0:amd64	ii 	0.11.1-4+b1
libabsl20240722:amd64	ii 	20240722.0-4
libabw-0.1-1:amd64	ii 	0.1.3-1+b2
libaccountsservice0:amd64	ii 	23.13.9-7
libacl1:amd64	ii 	2.3.2-2+b1
libadwaita-1-0:amd64	ii 	1.7.6-1~deb13u1
libaec0:amd64	ii 	1.1.3-1+b1
libalgorithm-diff-perl	ii 	1.201-1
libalgorithm-diff-xs-perl	ii 	0.04-9
libalgorithm-merge-perl	ii 	0.08-5
libanthy1t64:amd64	ii 	1:0.4-3+b1
libanthyinput0t64:amd64	ii 	1:0.4-3+b1
libao-common	ii 	1.2.2+20180113-1.2
libao4:amd64	ii 	1.2.2+20180113-1.2
libaom3:amd64	ii 	3.12.1-1
libaom3:i386	ii 	3.12.1-1
libapparmor1:amd64	ii 	4.1.0-1
libappstream5:amd64	ii 	1.0.5-1
libapt-pkg7.0:amd64	ii 	3.0.3
libarchive13t64:amd64	ii 	3.7.4-4+deb13u1
libargon2-1:amd64	ii 	0~20190702+dfsg-4+b2
libaria2-0:amd64	ii 	1.37.0+debian-3
libaribb24-0t64:amd64	ii 	1.0.3-2.1+b2
libarmadillo14	ii 	1:14.2.3+dfsg-1+b1
libarpack2t64:amd64	ii 	3.9.1-6
libasan8:amd64	ii 	14.2.0-19
libasound2-data	ii 	1.2.14-1
libasound2-plugins:amd64	ii 	1.2.12-2+b1
libasound2-plugins:i386	ii 	1.2.12-2+b1
libasound2t64:amd64	ii 	1.2.14-1
libasound2t64:i386	ii 	1.2.14-1
libaspell15:amd64	ii 	0.60.8.1-4
libass9:amd64	ii 	1:0.17.3-1+deb13u1
libassuan9:amd64	ii 	3.0.2-2
libasyncns0:amd64	ii 	0.8-6+b5
libasyncns0:i386	ii 	0.8-6+b5
libatasmart4:amd64	ii 	0.19-5+b2
libatk-bridge2.0-0t64:amd64	ii 	2.56.2-1+deb13u1
libatk-bridge2.0-0t64:i386	ii 	2.56.2-1+deb13u1
libatk1.0-0t64:amd64	ii 	2.56.2-1+deb13u1
libatk1.0-0t64:i386	ii 	2.56.2-1+deb13u1
libatkmm-1.6-1v5:amd64	ii 	2.28.4-1+b2
libatomic1:amd64	ii 	14.2.0-19
libatomic1:i386	ii 	14.2.0-19
libatopology2t64:amd64	ii 	1.2.14-1
libatrildocument3t64	ii 	1.26.2-4+deb13u1
libatrilview3t64	ii 	1.26.2-4+deb13u1
libatspi2.0-0t64:amd64	ii 	2.56.2-1+deb13u1
libatspi2.0-0t64:i386	ii 	2.56.2-1+deb13u1
libattr1:amd64	ii 	1:2.5.2-3
libaudio2:amd64	ii 	1.9.4-9
libaudit-common	ii 	1:4.0.2-2
libaudit1:amd64	ii 	1:4.0.2-2+b2
libauthen-sasl-perl	ii 	2.1700-1
libavahi-client3:amd64	ii 	0.8-16
libavahi-client3:i386	ii 	0.8-16
libavahi-common-data:amd64	ii 	0.8-16
libavahi-common-data:i386	ii 	0.8-16
libavahi-common3:amd64	ii 	0.8-16
libavahi-common3:i386	ii 	0.8-16
libavahi-core7:amd64	ii 	0.8-16
libavahi-glib1:amd64	ii 	0.8-16
libavc1394-0:amd64	ii 	0.5.4-5+b2
libavcodec61:amd64	ii 	7:7.1.5-0+deb13u1
libavcodec61:i386	ii 	7:7.1.5-0+deb13u1
libavdevice61:amd64	ii 	7:7.1.5-0+deb13u1
libavfilter10:amd64	ii 	7:7.1.5-0+deb13u1
libavformat61:amd64	ii 	7:7.1.5-0+deb13u1
libavif16:amd64	ii 	1.2.1-1.2
libavtp0:amd64	ii 	0.2.0-2
libavutil59:amd64	ii 	7:7.1.5-0+deb13u1
libavutil59:i386	ii 	7:7.1.5-0+deb13u1
libayatana-appindicator3-1	ii 	0.5.94-1
libayatana-ido3-0.4-0:amd64	ii 	0.10.4-1
libayatana-indicator3-7:amd64	ii 	0.9.4-1+b1
libb2-1:amd64	ii 	0.98.1-1.1+b2
libbcg729-0:amd64	ii 	1.1.1-3
libbdplus0:amd64	ii 	0.2.0-4+b1
libbinutils:amd64	ii 	2.44-3
libblas3:amd64	ii 	3.12.1-6
libblkid1:amd64	ii 	2.41-5
libblkid1:i386	ii 	2.41-5
libblockdev-crypto3:amd64	ii 	3.3.0-2.1
libblockdev-fs3:amd64	ii 	3.3.0-2.1
libblockdev-loop3:amd64	ii 	3.3.0-2.1
libblockdev-mdraid3:amd64	ii 	3.3.0-2.1
libblockdev-nvme3:amd64	ii 	3.3.0-2.1
libblockdev-part3:amd64	ii 	3.3.0-2.1
libblockdev-swap3:amd64	ii 	3.3.0-2.1
libblockdev-utils3:amd64	ii 	3.3.0-2.1
libblockdev3:amd64	ii 	3.3.0-2.1
libblosc1:amd64	ii 	1.21.5+ds-1+b2
libbluetooth3:amd64	ii 	5.82-1.1
libbluray2:amd64	ii 	1:1.3.4-1+b2
libboost-iostreams1.83.0:amd64	ii 	1.83.0-4.2
libboost-locale1.83.0:amd64	ii 	1.83.0-4.2
libboost-thread1.83.0:amd64	ii 	1.83.0-4.2
libbox2d2:amd64	ii 	2.4.1-3+b3
libbpf1:amd64	ii 	1:1.5.0-3
libbrlapi0.8:amd64	ii 	6.7-3.1+deb13u3
libbrotli1:amd64	ii 	1.1.0-2+b7
libbrotli1:i386	ii 	1.1.0-2+b7
libbs2b0:amd64	ii 	3.1.0+dfsg-8+b1
libbsd0:amd64	ii 	0.12.2-2
libbsd0:i386	ii 	0.12.2-2
libburn4t64:amd64	ii 	1.5.6-1.1+b1
libbytesize-common	ii 	2.11-2
libbytesize1:amd64	ii 	2.11-2
libbz2-1.0:amd64	ii 	1.0.8-6
libbz2-1.0:i386	ii 	1.0.8-6
libc-bin	ii 	2.41-12+deb13u3
libc-dev-bin	ii 	2.41-12+deb13u3
libc-l10n	ii 	2.41-12+deb13u3
libc6:amd64	ii 	2.41-12+deb13u3
libc6:i386	ii 	2.41-12+deb13u3
libc6-dev:amd64	ii 	2.41-12+deb13u3
libcaca0:amd64	ii 	0.99.beta20-5+deb13u1
libcairo-gobject-perl	ii 	1.005-4+b4
libcairo-gobject2:amd64	ii 	1.18.4-1+b1
libcairo-gobject2:i386	ii 	1.18.4-1+b1
libcairo-perl	ii 	1.109-5+b1
libcairo-script-interpreter2:amd64	ii 	1.18.4-1+b1
libcairo2:amd64	ii 	1.18.4-1+b1
libcairo2:i386	ii 	1.18.4-1+b1
libcairomm-1.0-1v5:amd64	ii 	1.14.5-2+b1
libcairomm-1.16-1:amd64	ii 	1.18.0-2
libcaja-extension1:amd64	ii 	1.26.4-1
libcanberra0:amd64	ii 	0.30-18
libcap-ng0:amd64	ii 	0.8.5-4+b1
libcap2:amd64	ii 	1:2.75-10+deb13u1+b1
libcap2:i386	ii 	1:2.75-10+deb13u1+b1
libcap2-bin	ii 	1:2.75-10+deb13u1+b1
libcares2:amd64	ii 	1.34.5-1+deb13u1
libcbor0.10:amd64	ii 	0.10.2-2
libcc1-0:amd64	ii 	14.2.0-19
libcddb2	ii 	1.3.2-7.1
libcdio-cdda2t64:amd64	ii 	10.2+2.0.2-1+b1
libcdio-paranoia2t64:amd64	ii 	10.2+2.0.2-1+b1
libcdio19t64:amd64	ii 	2.2.0-4.1~deb13u1
libcdparanoia0:amd64	ii 	3.10.2+debian-14+b1
libcdr-0.1-1:amd64	ii 	0.1.7-1+b3
libcfitsio10t64:amd64	ii 	4.6.2-2
libcharls2:amd64	ii 	2.4.2-2+b2
libchromaprint1:amd64	ii 	1.5.1-7
libcjson1:amd64	ii 	1.7.18-3.1+deb13u1
libclone-perl:amd64	ii 	0.47-1+b1
libcloudproviders0:amd64	ii 	0.3.6-2
libcloudproviders0:i386	ii 	0.3.6-2
libclucene-contribs1t64:amd64	ii 	2.3.3.4+dfsg-1.2+b1
libclucene-core1t64:amd64	ii 	2.3.3.4+dfsg-1.2+b1
libcmis-0.6-6t64	ii 	0.6.2-2.1+b1
libcodec2-1.2:amd64	ii 	1.2.0-3
libcodec2-1.2:i386	ii 	1.2.0-3
libcolamd3:amd64	ii 	1:7.10.1+dfsg-1
libcolord2:amd64	ii 	1.4.7-3
libcolord2:i386	ii 	1.4.7-3
libcolorhug2:amd64	ii 	1.4.7-3
libcom-err2:amd64	ii 	1.47.2-3+b11
libcom-err2:i386	ii 	1.47.2-3+b11
libcpuinfo0:amd64	ii 	0.0~git20250327.39ea79a-1
libcrack2:amd64	ii 	2.9.6-5.2+b1
libcrypt-dev:amd64	ii 	1:4.4.38-1
libcrypt1:amd64	ii 	1:4.4.38-1
libcrypt1:i386	ii 	1:4.4.38-1
libcryptsetup12:amd64	ii 	2:2.7.5-2
libctf-nobfd0:amd64	ii 	2.44-3
libctf0:amd64	ii 	2.44-3
libcups2t64:amd64	ii 	2.4.10-3+deb13u2
libcups2t64:i386	ii 	2.4.10-3+deb13u2
libcupsfilters1t64:amd64	ii 	1.28.17-6+deb13u1
libcurl3t64-gnutls:amd64	ii 	8.14.1-2+deb13u4
libcurl4t64:amd64	ii 	8.14.1-2+deb13u4
libdaemon0:amd64	ii 	0.14-7.1+b3
libdata-dump-perl	ii 	1.25-1
libdatrie1:amd64	ii 	0.2.13-3+b1
libdatrie1:i386	ii 	0.2.13-3+b1
libdav1d7:amd64	ii 	1.5.1-1
libdav1d7:i386	ii 	1.5.1-1
libdb5.3t64:amd64	ii 	5.3.28+dfsg2-9
libdb5.3t64:i386	ii 	5.3.28+dfsg2-9
libdbus-1-3:amd64	ii 	1.16.2-2
libdbus-1-3:i386	ii 	1.16.2-2
libdbus-glib-1-2:amd64	ii 	0.114-1
libdbusmenu-glib4:amd64	ii 	18.10.20180917~bzr492+repack1-4
libdbusmenu-gtk3-4:amd64	ii 	18.10.20180917~bzr492+repack1-4
libdc1394-25:amd64	ii 	2.2.6-5
libdca0:amd64	ii 	0.0.7-2+b2
libdconf1:amd64	ii 	0.40.0-5
libde265-0:amd64	ii 	1.0.15-1+b3
libdebconfclient0:amd64	ii 	0.280
libdecor-0-0:amd64	ii 	0.2.2-2
libdecor-0-0:i386	ii 	0.2.2-2
libdecor-0-plugin-1-gtk:amd64	ii 	0.2.2-2
libdecor-0-plugin-1-gtk:i386	ii 	0.2.2-2
libdeflate0:amd64	ii 	1.23-2
libdeflate0:i386	ii 	1.23-2
libdevmapper1.02.1:amd64	ii 	2:1.02.205-2
libdisplay-info2:amd64	ii 	0.2.0-2
libdjvulibre-text	ii 	3.5.28-2.2
libdjvulibre21:amd64	ii 	3.5.28-2.2
libdnnl3.6:amd64	ii 	3.7.2+ds-2
libdotconf0:amd64	ii 	1.4.1-1
libdouble-conversion3:amd64	ii 	3.3.1-1
libdpkg-perl	ii 	1.22.22
libdrm-amdgpu1:amd64	ii 	2.4.124-2
libdrm-amdgpu1:i386	ii 	2.4.124-2
libdrm-common	ii 	2.4.124-2
libdrm-intel1:amd64	ii 	2.4.124-2
libdrm-intel1:i386	ii 	2.4.124-2
libdrm-nouveau2:amd64	ii 	2.4.124-2
libdrm-radeon1:amd64	ii 	2.4.124-2
libdrm2:amd64	ii 	2.4.124-2
libdrm2:i386	ii 	2.4.124-2
libduktape207:amd64	ii 	2.7.0-2+b2
libdv4t64:amd64	ii 	1.0.0-17.1+b1
libdvbpsi10:amd64	ii 	1.3.3-1+b2
libdvdnav4:amd64	ii 	6.1.1-3+b1
libdvdread8t64:amd64	ii 	6.1.3-2
libdw1t64:amd64	ii 	0.192-4
libe-book-0.1-1:amd64	ii 	0.1.3-2+b4
libeb16t64:amd64	ii 	4.4.3-14.3
libebml5:amd64	ii 	1.4.5-1+b1
libebur128-1:amd64	ii 	1.2.6-1+b2
libedit2:amd64	ii 	3.1-20250104-1
libedit2:i386	ii 	3.1-20250104-1
libefiboot1t64:amd64	ii 	38-3.1+b1
libefivar1t64:amd64	ii 	38-3.1+b1
libegl-mesa0:amd64	ii 	25.0.7-2+deb13u1
libegl-mesa0:i386	ii 	25.0.7-2+deb13u1
libegl1:amd64	ii 	1.7.0-1+b2
libegl1:i386	ii 	1.7.0-1+b2
libelf1t64:amd64	ii 	0.192-4
libelf1t64:i386	ii 	0.192-4
libenchant-2-2:amd64	ii 	2.8.2+dfsg1-3
libenchant-2-voikko:amd64	ii 	2.8.2+dfsg1-3
libencode-locale-perl	ii 	1.05-3
libeot0:amd64	ii 	0.01-5+b2
libepoxy0:amd64	ii 	1.5.10-2
libepoxy0:i386	ii 	1.5.10-2
libepubgen-0.1-1:amd64	ii 	0.1.1-1+b2
liberror-perl	ii 	0.17030-1
libespeak-ng1:amd64	ii 	1.52.0+dfsg-5
libetonyek-0.1-1:amd64	ii 	0.1.12-1
libevdev2:amd64	ii 	1.13.4+dfsg-1
libevent-2.1-7t64:amd64	ii 	2.1.12-stable-10+b1
libevent-core-2.1-7t64:amd64	ii 	2.1.12-stable-10+b1
libexif12:amd64	ii 	0.6.25-1+deb13u1
libexo-2-0:amd64	ii 	4.20.0-1
libexo-common	ii 	4.20.0-1
libexpat1:amd64	ii 	2.8.2-1~deb13u1
libexpat1:i386	ii 	2.8.2-1~deb13u1
libexpat1-dev:amd64	ii 	2.8.2-1~deb13u1
libext2fs2t64:amd64	ii 	1.47.2-3+b11
libexttextcat-2.0-0:amd64	ii 	3.4.7-1+b1
libexttextcat-data	ii 	3.4.7-1
libextutils-depends-perl	ii 	0.8002-1
libfaad2:amd64	ii 	2.11.2-1
libfakeroot:amd64	ii 	1.37.1.1-1
libfcitx-config4:amd64	ii 	1:4.2.9.9-2+b1
libfcitx-core0:amd64	ii 	1:4.2.9.9-2+b1
libfcitx-gclient1:amd64	ii 	1:4.2.9.9-2+b1
libfcitx-qt5-1:amd64	ii 	1.2.7-3+b3
libfcitx-qt5-data	ii 	1.2.7-3
libfcitx-utils0:amd64	ii 	1:4.2.9.9-2+b1
libfcitx5-qt-data	ii 	5.1.9-1
libfcitx5-qt1:amd64	ii 	5.1.9-1+b1
libfcitx5-qt6-1:amd64	ii 	5.1.9-1+b1
libfcitx5config6:amd64	ii 	5.1.12-2
libfcitx5core7:amd64	ii 	5.1.12-2
libfcitx5gclient2:amd64	ii 	5.1.3-3
libfcitx5utils2:amd64	ii 	5.1.12-2
libfdisk1:amd64	ii 	2.41-5
libffi8:amd64	ii 	3.4.8-2
libffi8:i386	ii 	3.4.8-2
libfftw3-double3:amd64	ii 	3.3.10-2+b1
libfftw3-single3:amd64	ii 	3.3.10-2+b1
libfido2-1:amd64	ii 	1.15.0-1+b1
libfile-basedir-perl	ii 	0.09-2
libfile-desktopentry-perl	ii 	0.22-3
libfile-fcntllock-perl	ii 	0.22-4+b4
libfile-listing-perl	ii 	6.16-1
libfile-mimeinfo-perl	ii 	0.35-1
libflac14:amd64	ii 	1.5.0+ds-2
libflac14:i386	ii 	1.5.0+ds-2
libflashrom1:amd64	ii 	1.4.0-3
libflatpak0:amd64	ii 	1.16.6-1~deb13u1
libflite1:amd64	ii 	2.2-7
libfluidsynth3:amd64	ii 	2.4.4+dfsg-1+deb13u2
libfmt10:amd64	ii 	10.1.1+ds1-4
libfont-afm-perl	ii 	1.20-4
libfontconfig1:amd64	ii 	2.15.0-2.3
libfontconfig1:i386	ii 	2.15.0-2.3
libfontembed1t64:amd64	ii 	1.28.17-6+deb13u1
libfontenc1:amd64	ii 	1:1.1.8-1+b2
libfreeaptx0:amd64	ii 	0.2.2-1
libfreehand-0.1-1	ii 	0.1.2-3
libfreetype6:amd64	ii 	2.13.3+dfsg-1+deb13u1
libfreetype6:i386	ii 	2.13.3+dfsg-1+deb13u1
libfreexl1:amd64	ii 	2.0.0-1+b3
libfribidi0:amd64	ii 	1.0.16-1
libfribidi0:i386	ii 	1.0.16-1
libfstrm0:amd64	ii 	0.6.1-1+b3
libftdi1-2:amd64	ii 	1.5-10
libfuse3-4:amd64	ii 	3.17.2-3
libfwupd3:amd64	ii 	2.0.20-1~deb13u1
libfyba0t64:amd64	ii 	4.1.1-11+b1
libgail-common:amd64	ii 	2.24.33-7
libgail18t64:amd64	ii 	2.24.33-7
libgarcon-1-0:amd64	ii 	4.20.0-1
libgarcon-common	ii 	4.20.0-1
libgarcon-gtk3-1-0:amd64	ii 	4.20.0-1
libgav1-1:amd64	ii 	0.19.0-3+b1
libgbm1:amd64	ii 	25.0.7-2+deb13u1
libgbm1:i386	ii 	25.0.7-2+deb13u1
libgcc-14-dev:amd64	ii 	14.2.0-19
libgcc-s1:amd64	ii 	14.2.0-19
libgcc-s1:i386	ii 	14.2.0-19
libgck-1-0:amd64	ii 	3.41.2-3
libgck-2-2:amd64	ii 	4.4.0.1-3
libgcr-4-4:amd64	ii 	4.4.0.1-3
libgcr-base-3-1:amd64	ii 	3.41.2-3
libgcr-ui-3-1:amd64	ii 	3.41.2-3
libgcroots0:amd64	ii 	0.9.1-3
libgcrypt20:amd64	ii 	1.11.0-7+deb13u1
libgd3:amd64	ii 	2.3.3-13
libgdal36:amd64	ii 	3.10.3+dfsg-1
libgdbm-compat4t64:amd64	ii 	1.24-2
libgdbm6t64:amd64	ii 	1.24-2
libgdcm3.0t64:amd64	ii 	3.0.24-5+b3
libgdk-pixbuf-2.0-0:amd64	ii 	2.42.12+dfsg-4+deb13u1
libgdk-pixbuf-2.0-0:i386	ii 	2.42.12+dfsg-4+deb13u1
libgdk-pixbuf2.0-bin	ii 	2.42.12+dfsg-4+deb13u1
libgdk-pixbuf2.0-common	ii 	2.42.12+dfsg-4+deb13u1
libgeos-c1t64:amd64	ii 	3.13.1-1
libgeos3.13.1:amd64	ii 	3.13.1-1
libgeotiff5:amd64	ii 	1.7.4-1
libgfortran5:amd64	ii 	14.2.0-19
libgif7:amd64	ii 	5.2.2-1+deb13u1
libgirepository-1.0-1:amd64	ii 	1.84.0-1
libgl1:amd64	ii 	1.7.0-1+b2
libgl1:i386	ii 	1.7.0-1+b2
libgl1-mesa-dri:amd64	ii 	25.0.7-2+deb13u1
libgl1-mesa-dri:i386	ii 	25.0.7-2+deb13u1
libgles2:amd64	ii 	1.7.0-1+b2
libglib-object-introspection-perl	ii 	0.051-2+b1
libglib-perl:amd64	ii 	3:1.329.3-3+b3
libglib2.0-0t64:amd64	ii 	2.84.4-3~deb13u3
libglib2.0-0t64:i386	ii 	2.84.4-3~deb13u3
libglib2.0-bin	ii 	2.84.4-3~deb13u3
libglib2.0-data	ii 	2.84.4-3~deb13u3
libglibmm-2.4-1t64:amd64	ii 	2.66.8-1
libglibmm-2.68-1t64:amd64	ii 	2.84.0-1
libglu1-mesa:amd64	ii 	9.0.2-1.1+b3
libglvnd0:amd64	ii 	1.7.0-1+b2
libglvnd0:i386	ii 	1.7.0-1+b2
libglx-mesa0:amd64	ii 	25.0.7-2+deb13u1
libglx-mesa0:i386	ii 	25.0.7-2+deb13u1
libglx0:amd64	ii 	1.7.0-1+b2
libglx0:i386	ii 	1.7.0-1+b2
libgme0:amd64	ii 	0.6.3-7+b2
libgmp10:amd64	ii 	2:6.3.0+dfsg-3
libgmp10:i386	ii 	2:6.3.0+dfsg-3
libgnutls30t64:amd64	ii 	3.8.9-3+deb13u4
libgnutls30t64:i386	ii 	3.8.9-3+deb13u4
libgomp1:amd64	ii 	14.2.0-19
libgomp1:i386	ii 	14.2.0-19
libgpg-error-l10n	ii 	1.51-4
libgpg-error0:amd64	ii 	1.51-4
libgpg-error0:i386	ii 	1.51-4
libgpgme11t64:amd64	ii 	1.24.2-3
libgpgmepp6t64:amd64	ii 	1.24.2-3
libgphoto2-6t64:amd64	ii 	2.5.31-4
libgphoto2-l10n	ii 	2.5.31-4
libgphoto2-port12t64:amd64	ii 	2.5.31-4
libgpm2:amd64	ii 	1.20.7-11+b2
libgprofng0:amd64	ii 	2.44-3
libgraphene-1.0-0:amd64	ii 	1.10.8-5
libgraphite2-3:amd64	ii 	1.3.14-2+deb13u1
libgraphite2-3:i386	ii 	1.3.14-2+deb13u1
libgs-common	ii 	10.05.1~dfsg-1+deb13u1
libgs10:amd64	ii 	10.05.1~dfsg-1+deb13u1
libgs10-common	ii 	10.05.1~dfsg-1+deb13u1
libgsm1:amd64	ii 	1.0.22-1+b2
libgsm1:i386	ii 	1.0.22-1+b2
libgspell-1-3:amd64	ii 	1.14.0-2+b1
libgspell-1-common	ii 	1.14.0-2
libgssapi-krb5-2:amd64	ii 	1.21.3-5+deb13u1
libgssapi-krb5-2:i386	ii 	1.21.3-5+deb13u1
libgssdp-1.6-0:amd64	ii 	1.6.4-1~deb13u1
libgstreamer-gl1.0-0:amd64	ii 	1.26.2-1+deb13u1
libgstreamer-plugins-bad1.0-0:amd64	ii 	1.26.2-3+deb13u2
libgstreamer-plugins-base1.0-0:amd64	ii 	1.26.2-1+deb13u1
libgstreamer1.0-0:amd64	ii 	1.26.2-2
libgtk-3-0t64:amd64	ii 	3.24.49-3
libgtk-3-0t64:i386	ii 	3.24.49-3
libgtk-3-bin	ii 	3.24.49-3
libgtk-3-common	ii 	3.24.49-3
libgtk-4-1:amd64	ii 	4.18.6+ds-2
libgtk-4-bin	ii 	4.18.6+ds-2
libgtk-4-common	ii 	4.18.6+ds-2
libgtk-4-media-gstreamer	ii 	4.18.6+ds-2
libgtk-layer-shell0	ii 	0.9.0-2
libgtk2.0-0t64:amd64	ii 	2.24.33-7
libgtk2.0-bin	ii 	2.24.33-7
libgtk2.0-common	ii 	2.24.33-7
libgtk3-perl	ii 	0.038-3
libgtkmm-3.0-1t64:amd64	ii 	3.24.10-1
libgtkmm-4.0-0:amd64	ii 	4.18.0-1
libgtksourceview-3.0-1:amd64	ii 	3.24.11-3
libgtksourceview-3.0-common	ii 	3.24.11-3
libgtksourceview-4-0:amd64	ii 	4.8.4-6
libgtksourceview-4-common	ii 	4.8.4-6
libgtop-2.0-11:amd64	ii 	2.41.3-1+b2
libgtop2-common	ii 	2.41.3-1
libgudev-1.0-0:amd64	ii 	238-6
libgupnp-1.6-0:amd64	ii 	1.6.8-2
libgupnp-igd-1.6-0:amd64	ii 	1.6.0-4+b1
libgusb2:amd64	ii 	0.4.9-1+b1
libgxps2t64:amd64	ii 	0.3.2-4+b2
libhandy-1-0:amd64	ii 	1.8.3-2
libhangul-data	ii 	0.2.0-1
libhangul1:amd64	ii 	0.2.0-1
libharfbuzz-gobject0:amd64	ii 	10.2.0-1+deb13u1
libharfbuzz-icu0:amd64	ii 	10.2.0-1+deb13u1
libharfbuzz-subset0:amd64	ii 	10.2.0-1+deb13u1
libharfbuzz0b:amd64	ii 	10.2.0-1+deb13u1
libharfbuzz0b:i386	ii 	10.2.0-1+deb13u1
libhdf4-0-alt:amd64	ii 	4.3.0-1+b1
libhdf5-310:amd64	ii 	1.14.5+repack-3
libhdf5-hl-310:amd64	ii 	1.14.5+repack-3
libheif-plugin-aomenc:amd64	ii 	1.19.8-1
libheif-plugin-dav1d:amd64	ii 	1.19.8-1
libheif-plugin-libde265:amd64	ii 	1.19.8-1
libheif-plugin-x265:amd64	ii 	1.19.8-1
libheif1:amd64	ii 	1.19.8-1
libhfstospell11:amd64	ii 	0.5.4-1+b3
libhidapi-hidraw0:amd64	ii 	0.14.0-1+b2
libhogweed6t64:amd64	ii 	3.10.1-1
libhogweed6t64:i386	ii 	3.10.1-1
libhtml-form-perl	ii 	6.12-1
libhtml-format-perl	ii 	2.16-2
libhtml-parser-perl:amd64	ii 	3.83-2~deb13u1
libhtml-tagset-perl	ii 	3.24-1
libhtml-tree-perl	ii 	5.07-3
libhttp-cookies-perl	ii 	6.11-1
libhttp-daemon-perl	ii 	6.16-1+deb13u1
libhttp-date-perl	ii 	6.06-1
libhttp-message-perl	ii 	7.00-2
libhttp-negotiate-perl	ii 	6.01-2
libhunspell-1.7-0:amd64	ii 	1.7.2+really1.7.2-10+b4
libhwasan0:amd64	ii 	14.2.0-19
libhwloc-plugins:amd64	ii 	2.12.0-4
libhwloc15:amd64	ii 	2.12.0-4
libhwy1t64:amd64	ii 	1.2.0-2+b2
libhwy1t64:i386	ii 	1.2.0-2+b2
libhyphen0:amd64	ii 	2.8.8-7+b2
libi2c0:amd64	ii 	4.4-2
libibus-1.0-5:amd64	ii 	1.5.32-2
libice6:amd64	ii 	2:1.1.1-1
libicu76:amd64	ii 	76.1-4
libidn12:amd64	ii 	1.43-1
libidn2-0:amd64	ii 	2.3.8-2
libidn2-0:i386	ii 	2.3.8-2
libiec61883-0:amd64	ii 	1.2.0-7
libieee1284-3t64:amd64	ii 	0.2.11-14.1+b1
libigdgmm12:amd64	ii 	22.7.2+ds1-1
libigdgmm12:i386	ii 	22.7.2+ds1-1
libijs-0.35:amd64	ii 	0.35-15.2
libimagequant0:amd64	ii 	2.18.0-1+b2
